"Relative Pressure","Volume @ STP"
1.32250e-05,0.2737
1.83289e-05,1.1266
4.00197e-05,2.1151
7.65322e-05,3.3493
9.37350e-05,3.8545
2.07375e-04,5.9975
4.32233e-04,8.8931
6.08111e-04,10.6207
8.33004e-04,12.4194
1.05387e-03,13.8939
2.03857e-03,18.9484
4.03691e-03,26.5035
6.06030e-03,32.4750
8.02915e-03,37.2705
1.00811e-02,41.6925
1.75240e-02,54.1031
2.65344e-02,64.6225
3.81962e-02,74.2843
5.11406e-02,82.8645
6.84389e-02,92.0955
7.52454e-02,95.5956
8.76271e-02,101.1483
1.00076e-01,106.4848
1.25527e-01,116.5038
1.50401e-01,126.7462
1.75293e-01,137.4482
2.00547e-01,148.9032
2.24998e-01,160.2505
2.50659e-01,171.3208
2.75730e-01,180.7520
3.01057e-01,189.4221
3.25757e-01,198.2377
3.50397e-01,207.8711
3.74639e-01,225.8381
3.99532e-01,265.3737
4.25448e-01,269.5415
4.49889e-01,273.3533
4.74978e-01,277.3698
5.00318e-01,280.2784
5.25598e-01,283.1104
5.51073e-01,285.8415
5.75304e-01,288.2896
6.00265e-01,290.7986
6.25396e-01,293.2348
6.51308e-01,295.7412
6.75353e-01,297.9721
7.00582e-01,300.6169
7.25858e-01,303.1333
7.51343e-01,305.5072
7.75576e-01,307.9042
7.99868e-01,310.1619
8.25521e-01,313.0779
8.50513e-01,315.6312
8.76356e-01,318.2680
9.00512e-01,321.2993
9.25248e-01,324.6390
9.50213e-01,329.2108
9.75131e-01,341.5655
9.89083e-01,376.6250
9.86206e-01,371.7655
9.74989e-01,360.0545
9.49356e-01,342.1750
9.26080e-01,335.5212
9.00884e-01,331.3606
8.74310e-01,328.2917
8.49276e-01,325.7628
8.24472e-01,323.6422
7.99589e-01,321.3578
7.73974e-01,319.2374
7.49064e-01,317.2744
7.24402e-01,315.2724
6.98725e-01,313.2671
6.74239e-01,311.2613
6.49583e-01,309.0371
6.23983e-01,307.1327
5.99002e-01,305.1988
5.74434e-01,302.9700
5.49430e-01,300.6076
5.23828e-01,298.2948
4.99354e-01,295.8953
4.74209e-01,293.3521
4.49283e-01,289.7818
4.25811e-01,283.0923
3.99504e-01,280.0381
3.74594e-01,276.2526
3.51377e-01,254.8995
3.25538e-01,213.1799
2.99858e-01,201.9158
2.74100e-01,192.5931
2.49228e-01,183.2149
2.24507e-01,172.8284
1.99964e-01,161.4887
1.75179e-01,149.8738
1.49842e-01,138.7947
1.24506e-01,128.2982
9.97525e-02,117.8105
7.49095e-02,106.8287
5.05430e-02,93.8731
2.42964e-02,72.6010
9.81822e-03,48.3466
7.95970e-03,43.9990
5.94152e-03,38.7198
3.94508e-03,32.4999
1.94941e-03,24.4087
9.48680e-04,18.4182
