"Relative Pressure","Volume @ STP"
9.84544e-06,0.3037
2.82767e-05,4.5413
4.51567e-05,6.6701
6.53845e-05,8.7974
1.06335e-04,12.5964
2.19028e-04,21.0138
4.08614e-04,31.8036
6.54091e-04,41.9209
8.13501e-04,47.1723
1.00518e-03,52.7015
2.16012e-03,77.5468
4.11624e-03,109.6314
6.13330e-03,137.2944
8.14159e-03,161.9364
1.01854e-02,185.4913
1.76181e-02,262.1886
2.59540e-02,321.8090
3.74245e-02,370.5277
4.92739e-02,402.3947
6.71946e-02,437.8455
7.51676e-02,451.7022
8.78645e-02,472.6667
1.00513e-01,493.3216
1.25692e-01,543.0039
1.49522e-01,703.1854
1.75314e-01,830.6707
2.00306e-01,842.4475
2.25710e-01,852.1896
2.51153e-01,860.5997
2.74579e-01,867.0526
2.99325e-01,873.6883
3.24348e-01,879.8189
3.50113e-01,885.6326
3.75300e-01,891.1125
3.99790e-01,896.1629
4.24953e-01,901.1450
4.50130e-01,905.7165
4.75179e-01,910.5418
5.00120e-01,914.8935
5.25690e-01,919.1182
5.49575e-01,923.2629
5.76189e-01,928.0406
6.00160e-01,932.0121
6.24807e-01,935.9494
6.50759e-01,940.3921
6.74988e-01,944.5072
7.00011e-01,948.4982
7.25434e-01,952.4160
7.50101e-01,956.5682
7.75350e-01,960.4389
8.00133e-01,964.7849
8.26155e-01,968.9768
8.50140e-01,974.0653
8.75743e-01,979.2762
8.99699e-01,984.7891
9.27218e-01,994.2251
9.50730e-01,1005.0210
9.74039e-01,1027.8468
9.89340e-01,1065.1822
9.85041e-01,1063.3416
9.74866e-01,1050.6760
9.49113e-01,1022.5740
9.24581e-01,1011.0155
9.00552e-01,1003.1706
8.75780e-01,996.6226
8.50445e-01,991.2589
8.25162e-01,986.1737
8.00150e-01,981.6555
7.75067e-01,977.2428
7.49798e-01,973.1630
7.24857e-01,969.2297
6.99528e-01,965.2325
6.75205e-01,961.2624
6.50570e-01,957.0283
6.24996e-01,952.8635
5.99309e-01,948.8845
5.74964e-01,944.7844
5.50232e-01,940.4561
5.25114e-01,936.1991
4.99992e-01,931.7906
4.74865e-01,927.2171
4.50490e-01,921.7286
4.23879e-01,911.4424
4.00550e-01,905.9209
3.75155e-01,900.5314
3.50166e-01,895.0547
3.25584e-01,889.1195
3.00358e-01,882.7575
2.75679e-01,875.9799
2.48804e-01,867.7472
2.26195e-01,860.3406
1.99137e-01,849.6548
1.74636e-01,838.0390
1.50131e-01,778.8786
1.25333e-01,554.5627
1.00918e-01,500.6654
7.41796e-02,455.4176
4.92464e-02,407.6598
2.39064e-02,314.5816
9.97217e-03,184.8325
7.93579e-03,160.9122
5.89681e-03,135.2853
3.80777e-03,105.7488
1.97098e-03,74.1325
9.64377e-04,51.2978
