"Relative Pressure","Volume @ STP"
7.03890e-06,2.1535
1.96663e-05,4.2226
4.35500e-05,6.3120
7.16456e-05,8.0170
1.02141e-04,9.5069
2.31546e-04,13.5828
4.50783e-04,18.1120
6.53488e-04,21.0966
8.17172e-04,23.1029
1.01438e-03,25.2215
2.09495e-03,32.8971
4.00139e-03,41.6320
6.17313e-03,48.5523
8.06950e-03,53.4387
1.01590e-02,57.8155
1.77011e-02,69.0945
2.64874e-02,78.6714
3.84952e-02,88.1969
4.95618e-02,95.3282
6.81051e-02,105.4432
7.55844e-02,109.2311
8.73622e-02,114.8484
9.97927e-02,120.6975
1.25800e-01,132.6270
1.50472e-01,144.2174
1.75099e-01,156.1838
2.00590e-01,168.1198
2.25771e-01,178.7167
2.51303e-01,187.5997
2.74342e-01,193.9729
2.99248e-01,200.1929
3.24489e-01,206.0347
3.49165e-01,212.9058
3.74641e-01,226.7377
3.99485e-01,232.4724
4.25929e-01,235.0427
4.50811e-01,237.4696
4.76018e-01,239.8238
5.01005e-01,241.9525
5.25999e-01,243.9297
5.50707e-01,246.3744
5.75964e-01,248.4904
6.00915e-01,250.5499
6.25622e-01,252.7345
6.50979e-01,254.8007
6.75962e-01,256.8565
7.00865e-01,258.6981
7.26197e-01,260.8497
7.50589e-01,262.8976
7.75770e-01,264.9081
8.01146e-01,266.8951
8.25666e-01,269.0735
8.51028e-01,271.4055
8.75570e-01,273.8819
9.00727e-01,276.3987
9.25938e-01,279.4951
9.50337e-01,283.7518
9.74879e-01,296.8182
9.89193e-01,334.7783
9.85513e-01,331.6482
9.74947e-01,317.9223
9.49976e-01,298.3349
9.26043e-01,291.8639
8.99914e-01,288.0235
8.74533e-01,285.5272
8.49004e-01,283.2761
8.24511e-01,281.2205
7.99269e-01,279.1589
7.74081e-01,277.1323
7.49134e-01,275.3307
7.24004e-01,273.6436
6.99413e-01,271.8971
6.74092e-01,270.0963
6.48911e-01,268.3128
6.24040e-01,266.4046
5.99206e-01,264.8425
5.74224e-01,263.1674
5.49338e-01,261.3492
5.23891e-01,259.3094
4.99498e-01,257.2003
4.74181e-01,255.1032
4.49624e-01,251.4532
4.23510e-01,243.7717
3.99089e-01,241.6174
3.74412e-01,239.1395
3.49937e-01,235.1534
3.24546e-01,215.9679
3.00845e-01,209.2311
2.75750e-01,202.8726
2.50855e-01,195.8592
2.23896e-01,186.4171
1.99419e-01,176.0940
1.74983e-01,164.4735
1.50252e-01,152.2756
1.25212e-01,140.3290
9.98977e-02,128.4570
7.50483e-02,116.5465
5.05960e-02,103.1871
2.40684e-02,82.4839
9.95127e-03,61.8657
7.99076e-03,57.6267
5.88875e-03,51.8495
3.94041e-03,45.4966
1.93219e-03,35.9964
9.78055e-04,28.6875
