"Relative Pressure","Volume @ STP"
9.20868e-06,2.9060
1.92710e-05,5.7528
4.49964e-05,11.0536
7.28697e-05,15.9283
1.01535e-04,20.5926
2.16360e-04,36.4138
3.96369e-04,54.7914
6.48908e-04,72.4796
8.16648e-04,81.2961
1.02486e-03,90.2139
2.17370e-03,121.5000
4.08973e-03,151.2441
6.19031e-03,173.7674
8.12158e-03,190.5704
1.00263e-02,205.0034
1.78911e-02,251.7407
2.64231e-02,288.5218
3.65762e-02,320.4564
5.01265e-02,357.6507
6.65974e-02,404.5387
7.44364e-02,423.1939
8.74696e-02,450.4193
9.98409e-02,475.1386
1.25895e-01,533.6639
1.49664e-01,594.3408
1.75625e-01,608.5586
1.99923e-01,615.2886
2.25065e-01,621.3547
2.49985e-01,626.6489
2.75255e-01,631.4773
3.00163e-01,635.9306
3.25222e-01,640.2213
3.50705e-01,644.1130
3.75643e-01,647.7293
4.00668e-01,651.2541
4.25435e-01,654.8101
4.50803e-01,658.0494
4.75808e-01,661.0852
5.00626e-01,664.0785
5.25749e-01,667.0250
5.50936e-01,670.1706
5.76549e-01,673.1697
6.00741e-01,675.8962
6.26032e-01,678.7341
6.50792e-01,681.6723
6.75770e-01,684.4101
7.00597e-01,687.1993
7.25611e-01,689.8607
7.50448e-01,692.7664
7.75972e-01,696.0112
8.01233e-01,698.8786
8.25893e-01,701.9289
8.50717e-01,705.1419
8.75142e-01,708.4508
9.00258e-01,712.6206
9.25364e-01,717.7959
9.49041e-01,725.8621
9.74374e-01,743.1476
9.88176e-01,767.4379
9.84544e-01,766.1104
9.76611e-01,756.8468
9.49452e-01,736.3786
9.26061e-01,728.3574
9.00267e-01,722.2050
8.75140e-01,717.7642
8.49427e-01,713.7080
8.24475e-01,710.6843
7.99574e-01,707.5606
7.74275e-01,704.5408
7.49788e-01,701.7461
7.23879e-01,699.2990
6.99760e-01,696.8026
6.74512e-01,694.0113
6.49271e-01,691.1571
6.24497e-01,688.1699
5.99340e-01,685.2388
5.74277e-01,682.4877
5.49286e-01,679.6820
5.24460e-01,676.5888
4.99658e-01,673.5479
4.74532e-01,670.3770
4.49500e-01,666.5967
4.25287e-01,660.5600
3.99637e-01,656.4266
3.74735e-01,652.6829
3.49683e-01,648.8451
3.24555e-01,644.7248
2.99738e-01,640.6122
2.74782e-01,636.1218
2.49776e-01,631.0685
2.25101e-01,625.6004
2.00158e-01,619.4606
1.75434e-01,612.4642
1.49434e-01,600.0206
1.25886e-01,541.3072
1.00024e-01,480.3261
7.42295e-02,426.4682
5.00450e-02,360.0153
2.33214e-02,277.8534
9.98566e-03,205.3112
7.96317e-03,189.6157
5.79429e-03,170.0339
3.92927e-03,148.9257
1.93649e-03,115.7329
9.71550e-04,86.8141
