"Relative Pressure","Volume @ STP"
1.53734e-05,0.2689
1.64216e-05,0.5660
4.34708e-05,1.5999
7.11688e-05,2.3682
9.47893e-05,2.9655
2.32291e-04,5.9568
4.32743e-04,9.4960
6.63783e-04,12.9023
8.34740e-04,15.0619
1.03422e-03,17.4591
2.04016e-03,26.5490
4.16438e-03,41.0402
6.14927e-03,52.2183
8.14648e-03,62.5585
1.00120e-02,71.5935
1.77046e-02,105.8516
2.66783e-02,138.4534
3.70464e-02,165.7392
5.01308e-02,188.6487
6.83654e-02,210.2164
7.48739e-02,216.7142
8.82413e-02,228.0251
9.91282e-02,236.0745
1.24399e-01,253.4033
1.49683e-01,269.9490
1.74810e-01,286.9520
2.00962e-01,307.8023
2.25863e-01,329.1519
2.50153e-01,353.2503
2.74840e-01,378.3445
3.00558e-01,403.1169
3.24827e-01,429.0568
3.49819e-01,463.4154
3.74720e-01,576.9677
3.99405e-01,672.3053
4.23907e-01,680.2742
4.51728e-01,691.8188
4.76131e-01,707.3118
5.00816e-01,711.6414
5.24799e-01,715.8200
5.50589e-01,720.0592
5.76042e-01,723.8048
6.00681e-01,727.2575
6.26630e-01,731.1155
6.50406e-01,734.6576
6.76045e-01,737.9420
7.01395e-01,741.6030
7.25500e-01,744.9697
7.51498e-01,748.2414
7.76123e-01,751.4160
8.00273e-01,754.6829
8.26563e-01,757.9240
8.51100e-01,761.2854
8.76721e-01,764.5619
9.01244e-01,768.1538
9.24784e-01,771.8639
9.50370e-01,776.2560
9.75229e-01,783.5735
9.88272e-01,835.5649
9.87203e-01,830.4041
9.73604e-01,788.6517
9.47288e-01,781.0247
9.22052e-01,776.8279
8.94866e-01,773.7653
8.71060e-01,770.6716
8.44407e-01,767.8337
8.19052e-01,764.8058
7.95038e-01,762.2145
7.70533e-01,759.4048
7.47034e-01,756.8575
7.20227e-01,753.7926
6.96188e-01,750.8839
6.70185e-01,747.7964
6.45615e-01,744.7322
6.20123e-01,741.5209
5.95344e-01,738.1974
5.70037e-01,734.7477
5.45456e-01,731.2536
5.20669e-01,727.4467
4.95463e-01,723.6993
4.70630e-01,719.7258
4.45881e-01,714.5625
4.21309e-01,708.5444
3.96065e-01,703.4127
3.74968e-01,686.8593
3.52390e-01,609.1598
3.24830e-01,454.1948
2.96959e-01,418.8377
2.76533e-01,397.4993
2.52658e-01,373.1089
2.27877e-01,347.5144
2.02268e-01,324.2665
1.76059e-01,304.0741
1.50721e-01,285.9661
1.25213e-01,268.6504
1.00287e-01,251.0203
7.59644e-02,231.4646
5.28171e-02,206.5155
2.48787e-02,145.3535
9.97291e-03,80.3930
7.96629e-03,70.0755
5.98296e-03,59.4867
3.84805e-03,46.5389
1.91553e-03,32.4342
9.13876e-04,22.2679
