"Relative Pressure","Volume @ STP"
8.36980e-06,4.8911
1.68981e-05,7.8300
4.19167e-05,12.8153
7.56188e-05,17.5624
9.82611e-05,20.2799
2.07761e-04,29.9721
4.49246e-04,43.7632
6.15604e-04,50.9869
8.24716e-04,58.3006
1.00843e-03,63.5318
3.16270e-03,98.2306
5.21193e-03,116.1333
7.16319e-03,127.9082
9.07425e-03,136.9633
1.00427e-02,140.6967
2.54571e-02,174.3783
4.89687e-02,200.7756
7.56156e-02,221.7322
9.97060e-02,237.5244
1.25700e-01,253.4121
1.49348e-01,267.5943
1.74145e-01,282.6331
2.00831e-01,299.3063
2.25475e-01,316.1761
2.50074e-01,334.6113
2.75429e-01,360.0185
2.99927e-01,389.3896
3.24053e-01,434.2929
3.49550e-01,484.3142
3.74877e-01,528.8072
4.00944e-01,572.1219
4.25705e-01,580.3874
4.50693e-01,585.7962
4.73912e-01,590.0361
4.99524e-01,593.5244
5.24998e-01,596.9640
5.50291e-01,599.9930
5.73619e-01,602.9490
6.00338e-01,605.6893
6.25862e-01,608.1155
6.48795e-01,610.6844
6.76040e-01,613.3316
7.00051e-01,615.7444
7.25180e-01,618.2534
7.48714e-01,620.7137
7.74329e-01,623.9896
8.01616e-01,626.5772
8.24975e-01,628.9254
8.49935e-01,631.2123
8.76199e-01,633.5355
8.99429e-01,635.8006
9.23949e-01,638.2610
9.49688e-01,640.6646
9.76897e-01,643.1737
9.93589e-01,647.2629
9.89329e-01,649.2835
9.73945e-01,646.5712
9.51311e-01,644.0814
9.23557e-01,641.9203
9.01904e-01,640.2859
8.74727e-01,638.2905
8.48387e-01,636.6895
8.24722e-01,634.6815
8.00686e-01,632.5457
7.73987e-01,630.5407
7.50327e-01,629.5345
7.25163e-01,627.6706
6.99468e-01,625.6397
6.74894e-01,623.4297
6.50007e-01,621.1898
6.24765e-01,618.8125
5.99193e-01,616.4114
5.75376e-01,613.8713
5.50004e-01,611.2463
5.25215e-01,608.4003
4.99884e-01,605.7500
4.75095e-01,602.7055
4.49756e-01,599.5168
4.25409e-01,596.0027
3.99773e-01,589.2927
3.74951e-01,552.0744
3.49878e-01,500.4027
3.25762e-01,454.3677
3.00329e-01,406.6335
2.76107e-01,372.7471
2.48541e-01,346.6413
2.24644e-01,328.0597
2.01181e-01,311.6780
1.75579e-01,295.2814
1.50938e-01,280.0697
1.25592e-01,264.7148
9.90790e-02,248.2203
7.43880e-02,231.2948
4.94956e-02,211.0179
2.41526e-02,180.6197
9.70578e-03,145.7922
8.97918e-03,142.6658
6.78200e-03,132.2673
4.91072e-03,120.5103
2.88703e-03,101.6873
9.76125e-04,68.0394
