"Relative Pressure","Volume @ STP"
7.94659e-06,0.1956
1.70839e-05,27.5760
2.60170e-05,35.2893
3.45739e-05,40.2979
4.50597e-05,45.2979
5.74090e-05,50.2142
6.52745e-05,53.0054
7.40665e-05,55.7821
9.09575e-05,60.4756
9.53811e-05,61.6802
2.05273e-04,80.3697
3.00461e-04,90.2815
4.35546e-04,100.1311
5.08316e-04,104.4494
6.01040e-04,109.0241
8.65156e-04,119.1169
1.01761e-03,123.9007
2.14710e-03,148.1354
3.12652e-03,162.7802
4.06847e-03,174.2717
5.14257e-03,185.3174
7.23024e-03,202.3968
9.22430e-03,215.0769
1.00984e-02,219.5648
2.70107e-02,274.1367
4.86113e-02,316.4323
7.40600e-02,358.1597
1.00082e-01,397.1124
1.26875e-01,432.6867
1.48573e-01,458.3132
1.76487e-01,493.3650
1.98314e-01,528.0230
2.21488e-01,622.4447
2.49957e-01,691.6942
2.76206e-01,703.5089
2.99753e-01,714.6039
3.27073e-01,723.8977
3.52408e-01,730.2822
3.77685e-01,736.3907
4.04323e-01,742.0987
4.29440e-01,747.7018
4.55412e-01,752.5695
4.77627e-01,757.0542
5.03929e-01,761.9383
5.29107e-01,767.0387
5.54642e-01,771.7186
5.77739e-01,776.2354
6.04506e-01,780.9375
6.29160e-01,785.4219
6.54166e-01,790.9470
6.78839e-01,795.8439
7.03662e-01,800.8581
7.28687e-01,805.9625
7.53416e-01,811.4121
7.78876e-01,818.3846
8.02686e-01,825.1068
8.26175e-01,833.0291
8.51895e-01,842.3985
8.73138e-01,854.9939
9.00314e-01,871.1699
9.26756e-01,902.2636
9.50205e-01,952.9413
9.71947e-01,1045.0726
9.79995e-01,1084.2121
9.77692e-01,1084.2035
9.70264e-01,1075.6117
9.48790e-01,1003.2161
9.23799e-01,952.7111
9.02476e-01,918.6705
8.73516e-01,890.3608
8.51317e-01,874.6151
8.22607e-01,862.2415
8.00817e-01,852.3522
7.72141e-01,842.8901
7.48329e-01,835.3674
7.22384e-01,828.4034
6.96249e-01,822.8249
6.71052e-01,817.3290
6.45870e-01,811.9862
6.20774e-01,807.2798
5.94635e-01,802.4353
5.71648e-01,797.7628
5.46126e-01,792.7103
5.19858e-01,788.2500
4.96168e-01,783.4290
4.72433e-01,776.0314
4.48505e-01,765.5558
4.21905e-01,759.1805
3.95190e-01,753.6856
3.71453e-01,748.3390
3.46784e-01,742.2869
3.21725e-01,735.7494
2.98159e-01,727.1165
2.74105e-01,716.1563
2.49408e-01,704.6046
2.23739e-01,654.7414
2.02865e-01,556.8778
1.75295e-01,503.4571
1.50319e-01,471.3716
1.24642e-01,440.3060
1.00651e-01,407.5296
7.72599e-02,372.0944
5.40341e-02,333.6399
2.32149e-02,270.2924
9.82921e-03,222.8192
4.95295e-03,187.6067
