relpress,quantity,amountmol,rouquerol,betplot
7.94659e-06,0.1956,0.008732142857142857,0.00873207346638375,0.9100461683690982
1.70839e-05,27.576,1.2310714285714286,1.23105039707025,0.01387749846850917
2.6017e-05,35.2893,1.5754151785714285,1.5753741909947276,0.01651480654483254
3.45739e-05,40.2979,1.799013392857143,1.7989511939479998,0.019218920511191694
4.50597e-05,45.2979,2.022227678571429,2.0221365575989005,0.022283213183932647
5.7409e-05,50.2142,2.241705357142857,2.241576663080009,0.02561099111422668
6.52745e-05,53.0054,2.3663125000000003,2.366158040134719,0.027586703378563653
7.40665e-05,55.7821,2.4902723214285714,2.490087875673676,0.029744532602072053
9.09575e-05,60.4756,2.6998035714285717,2.6995580040452234,0.03369347865972961
9.53811e-05,61.6802,2.7535803571428574,2.753317717619455,0.03464224248063439
0.000205273,80.3697,3.587933035714286,3.5871965299362456,0.05722379531953
0.000300461,90.2815,4.030424107142857,4.029213121885201,0.07457063970332235
0.000435546,100.1311,4.470138392857144,4.4681914419606885,0.09747702300975669
0.000508316,104.4494,4.662919642857143,4.6605494061959645,0.10906782778103791
0.00060104,109.0241,4.867147321428572,4.8642219712025,0.12356344006468416
0.000865156,119.1169,5.31771875,5.313118093717125,0.16283394886762734
0.00101761,123.9007,5.53128125,5.5256525628871875,0.18416105399654234
0.0021471,148.1354,6.6131875,6.598988325118751,0.32536805555893483
0.00312652,162.7802,7.2669732142857155,7.244252877191787,0.4315862592046878
0.00406847,174.2717,7.779986607142858,7.7483339650312955,0.5250767478997749
0.00514257,185.3174,8.273098214285714,8.230553227601876,0.6248146215437798
0.00723024,202.3968,9.03557142857143,8.970242078605715,0.8060250700752358
0.0092243,215.0769,9.601647321428572,9.51307884604152,0.9696440184387115
0.0100984,219.5648,9.802,9.7030154832,1.0407486226817402
0.0270107,274.1367,12.238245535714288,11.90768195702277,2.2683424110156003
0.0486113,316.4323,14.126441964285716,13.439737256027234,3.6169829122365917
0.07406,358.1597,15.989272321428572,14.805106813303572,5.002327976009681
0.100082,397.1124,17.72823214285714,15.953955213535712,6.273177946186539
0.126875,432.6867,19.316370535714285,16.865606023995536,7.522706259086606
0.148573,458.3132,20.460410714285715,17.42054611323214,8.52860748648679
0.176487,493.365,22.025223214285717,18.138057644866073,9.730203942204042
0.198314,528.023,23.57245535714286,18.897707445446432,10.49407715578672
0.221488,622.4447,27.787709821428574,21.633065548500003,10.238401002550356
0.249957,691.6942,30.87920535714286,23.160731823687502,10.792275559460428
0.276206,703.5089,31.406647321428576,22.731942891366074,12.150567213720525
0.299753,714.6039,31.901959821428573,22.339251659075895,13.41822029558531
0.327073,723.8977,32.31686160714286,21.746888730709827,15.039990503934687
0.352408,730.2822,32.60188392857143,21.11271921707143,16.691739059128306
0.377685,736.3907,32.87458482142858,20.458347253147323,18.461168701782434
0.404323,742.0987,33.12940625,19.734425326781253,20.48820744991749
0.42944,747.7018,33.37954464285715,19.045032991428574,22.548661385531556
0.455412,752.5695,33.59685267857143,18.29644280651786,24.890739955078352
0.477627,757.0542,33.7970625,17.6546729293125,27.05385718060989
0.503929,761.9383,34.01510267857143,16.87390600086161,29.864395355424435
0.529107,767.0387,34.24279910714286,16.12469439995982,32.81345908802578
0.554642,771.7186,34.45172321428572,15.34335054726786,36.148688533924116
0.577739,776.2354,34.65336607142857,14.6327650106875,39.48255846232959
0.604506,780.9375,34.86328125,13.7882185546875,43.84221192914654
0.62916,785.4219,35.06347767857143,13.002940062321427,48.38598016944757
0.654166,790.947,35.31013392857143,12.211444857053571,53.56990983930463
0.678839,795.8439,35.528745535714286,11.410447444995537,59.492759006372644
0.703662,800.8581,35.75259375,10.5948521266875,66.41546211178702
0.728687,805.9625,35.98046875,9.761968917968751,74.64549478934661
0.753416,811.4121,36.22375446428572,8.93219827082143,84.34832917459563
0.778876,818.3846,36.53502678571429,8.078771262964285,96.41020579090052
0.802686,825.1068,36.835125000000005,7.268085854250001,110.43980713720255
0.826175,833.0291,37.188799107142856,6.464343004799107,127.80494466129818
0.851895,842.3985,37.60707589285715,5.569795975111609,152.94904944573477
0.873138,854.9939,38.16937053571429,4.842242684901787,180.3168607642203
0.900314,871.1699,38.89151339285714,3.876939404080359,232.22287122993131
0.926756,902.2636,40.279625,2.950240853499999,314.128929134904
0.950205,952.9413,42.542022321428576,2.118380001495537,448.55266728782027
0.971947,1045.0726,46.655026785714284,1.3088134664196425,742.616900679387
0.979995,1084.2121,48.40232589285714,0.9682885294866096,1012.0898576786789
