Frame,Downhill Transitions,Uphill Transitions,None
0,1,0,0
1,4959,3302,1716
2,4692,3547,1726
3,4598,3547,1825
4,4551,3595,1819
5,4488,3655,1829
6,4528,3680,1767
7,4441,3599,1926
8,4540,3595,1832
9,4485,3638,1857
10,4528,3676,1771
11,4482,3647,1850
12,4467,3689,1819
13,4430,3724,1822
14,4534,3655,1790
15,4543,3593,1830
16,4477,3634,1855
17,4548,3633,1797
18,4420,3726,1816
19,4426,3701,1847
20,4425,3776,1771
21,4422,3673,1868
22,4416,3782,1776
23,4489,3641,1840
24,4461,3691,1820
25,4410,3684,1885
26,4490,3692,1792
27,4566,3627,1786
28,4480,3687,1807
29,4555,3633,1787
30,4549,3668,1756
31,4552,3705,1719
32,4530,3619,1810
33,4494,3633,1844
34,4389,3773,1815
35,4518,3655,1797
36,4458,3678,1836
37,4440,3709,1824
38,4479,3658,1835
39,4358,3811,1800
40,4484,3668,1819
41,4458,3630,1888
42,4466,3577,1929
43,4470,3552,1952
44,4497,3534,1936
45,4431,3586,1949
46,4420,3629,1925
47,4532,3575,1862
48,4494,3620,1865
49,4484,3608,1877
50,4514,3658,1809
51,4458,3641,1879
52,4496,3632,1852
53,4512,3594,1865
54,4399,3592,1989
55,4346,3691,1935
56,4359,3692,1918
57,4495,3605,1875
58,4487,3560,1931
59,4402,3670,1908
60,4410,3661,1902
61,4436,3638,1901
62,4516,3587,1868
63,4406,3700,1857
64,4379,3622,1969
65,4419,3666,1886
66,4397,3673,1892
67,4444,3548,1982
68,4529,3552,1888
69,4532,3606,1834
70,4425,3635,1910
71,4455,3639,1881
72,4505,3576,1900
73,4381,3627,1961
74,4466,3603,1906
75,4535,3561,1877
76,4446,3601,1928
77,4524,3561,1887
78,4449,3676,1843
79,4484,3603,1880
80,4422,3634,1919
81,4440,3577,1948
82,4431,3539,2008
83,4441,3529,2001
84,4426,3596,1958
85,4459,3525,1989
86,4346,3667,1964
87,4307,3592,2079
88,4467,3512,1993
89,4407,3583,1983
90,4471,3550,1946
91,4461,3547,1968
92,4354,3578,2035
93,4407,3545,2012
94,4417,3619,1942
95,4393,3526,2056
96,4297,3675,2003
97,4453,3560,1952
98,4303,3622,2036
99,4471,3477,2030
100,4405,3537,2024
101,4486,3493,1991
102,4441,3562,1971
103,4384,3569,2024
104,4421,3567,1983
105,4404,3518,2051
106,4490,3507,1972
107,4497,3469,2001
108,4520,3517,1938
109,4397,3529,2037
110,4414,3457,2102
111,4407,3605,1959
112,4455,3493,2029
113,4519,3514,1940
114,4467,3558,1952
115,4422,3591,1951
116,4411,3527,2041
117,4466,3602,1898
118,4369,3599,2003
119,4448,3559,1976
120,4469,3530,1974
121,4348,3547,2088
122,4392,3509,2069
123,4416,3528,2037
124,4434,3461,2075
125,4292,3515,2171
126,4352,3589,2034
127,4329,3581,2055
128,4416,3446,2109
129,4507,3347,2123
130,4331,3517,2121
131,4379,3524,2065
132,4364,3517,2091
133,4366,3523,2079
134,4420,3511,2042
135,4395,3459,2129
136,4399,3434,2138
137,4391,3555,2024
138,4460,3475,2027
139,4438,3416,2117
140,4339,3497,2142
141,4397,3475,2102
142,4387,3498,2087
143,4332,3569,2076
144,4411,3421,2140
145,4348,3500,2121
146,4443,3521,2011
147,4438,3405,2127
148,4523,3395,2053
149,4338,3462,2165
150,4381,3483,2109
151,4373,3549,2055
152,4361,3469,2138
153,4442,3486,2042
154,4469,3467,2039
155,4443,3514,2012
156,4412,3471,2091
157,4479,3399,2097
158,4447,3517,2015
159,4298,3518,2159
160,4388,3530,2059
161,4348,3401,2217
162,4407,3376,2186
163,4363,3434,2175
164,4326,3394,2256
165,4360,3392,2218
166,4388,3407,2179
167,4335,3409,2235
168,4416,3388,2164
169,4376,3420,2179
170,4375,3415,2176
171,4351,3458,2162
172,4288,3390,2297
173,4422,3448,2107
174,4457,3311,2199
175,4300,3448,2219
176,4394,3412,2161
177,4342,3406,2227
178,4299,3464,2214
179,4382,3387,2195
180,4370,3493,2106
181,4411,3385,2170
182,4389,3342,2239
183,4346,3379,2235
184,4395,3502,2080
185,4311,3475,2189
186,4363,3361,2252
187,4485,3333,2159
188,4330,3404,2243
189,4351,3392,2239
190,4307,3476,2181
191,4387,3367,2210
192,4308,3492,2179
193,4366,3432,2177
194,4310,3371,2289
195,4321,3382,2264
196,4316,3448,2210
197,4380,3372,2225
198,4361,3415,2192
199,4374,3395,2195
200,4288,3439,2232
201,4297,3403,2276
202,4447,3258,2271
203,4415,3315,2237
204,4377,3314,2282
205,4256,3400,2311
206,4292,3394,2286
207,4340,3268,2361
208,4367,3310,2296
209,4257,3339,2374
210,4284,3332,2362
211,4408,3275,2294
212,4322,3312,2331
213,4305,3292,2373
214,4395,3254,2308
215,4313,3300,2359
216,4328,3299,2346
217,4303,3415,2258
218,4312,3417,2247
219,4369,3346,2252
220,4322,3310,2324
221,4342,3383,2244
222,4403,3301,2269
223,4329,3379,2267
