Generation,Size X,Size Y,Births,Deaths,Total Population
1,100,100,0,0,60
2,100,100,0,0,72
3,100,100,0,0,69
4,100,100,0,0,78
5,100,100,0,0,72
6,100,100,0,0,82
7,100,100,0,0,78
8,100,100,0,0,80
9,100,100,0,0,78
10,100,100,0,0,76
11,100,100,0,0,73
12,100,100,0,0,81
13,100,100,0,0,83
14,100,100,0,0,90
15,100,100,0,0,91
16,100,100,0,0,97
17,100,100,0,0,95
18,100,100,0,0,93
19,100,100,0,0,86
20,100,100,0,0,90
21,100,100,0,0,89
22,100,100,0,0,90
23,100,100,0,0,87
24,100,100,0,0,96
25,100,100,0,0,101
26,100,100,0,0,102
27,100,100,0,0,105
28,100,100,0,0,106
29,100,100,0,0,102
30,100,100,0,0,98
31,100,100,0,0,91
32,100,100,0,0,95
33,100,100,0,0,94
34,100,100,0,0,95
35,100,100,0,0,92
36,100,100,0,0,101
37,100,100,0,0,106
38,100,100,0,0,107
39,100,100,0,0,110
40,100,100,0,0,111
41,100,100,0,0,107
42,100,100,0,0,103
43,100,100,0,0,96
44,100,100,0,0,100
45,100,100,0,0,99
46,100,100,0,0,100
47,100,100,0,0,97
48,100,100,0,0,106
49,100,100,0,0,111
50,100,100,0,0,112
51,100,100,0,0,115
52,100,100,0,0,116
53,100,100,0,0,112
54,100,100,0,0,108
55,100,100,0,0,101
56,100,100,0,0,105
57,100,100,0,0,104
58,100,100,0,0,105
59,100,100,0,0,102
60,100,100,0,0,111
61,100,100,0,0,116
62,100,100,0,0,117
63,100,100,0,0,120
64,100,100,0,0,121
65,100,100,0,0,117
66,100,100,0,0,113
67,100,100,0,0,106
68,100,100,0,0,110
69,100,100,0,0,109
70,100,100,0,0,110
71,100,100,0,0,107
72,100,100,0,0,116
73,100,100,0,0,121
74,100,100,0,0,122
75,100,100,0,0,125
76,100,100,0,0,126
77,100,100,0,0,122
78,100,100,0,0,118
79,100,100,0,0,111
80,100,100,0,0,115
81,100,100,0,0,114
82,100,100,0,0,115
83,100,100,0,0,112
84,100,100,0,0,121
85,100,100,0,0,125
86,100,100,0,0,124
87,100,100,0,0,126
88,100,100,0,0,126
89,100,100,0,0,118
90,100,100,0,0,115
91,100,100,0,0,105
92,100,100,0,0,110
93,100,100,0,0,104
94,100,100,0,0,108
95,100,100,0,0,99
96,100,100,0,0,102
97,100,100,0,0,107
98,100,100,0,0,97
99,100,100,0,0,101
100,100,100,0,0,94
101,100,100,0,0,98
102,100,100,0,0,98
103,100,100,0,0,90
104,100,100,0,0,91
105,100,100,0,0,88
106,100,100,0,0,93
107,100,100,0,0,89
108,100,100,0,0,98
109,100,100,0,0,92
110,100,100,0,0,75
111,100,100,0,0,70
112,100,100,0,0,78
113,100,100,0,0,73
114,100,100,0,0,69
115,100,100,0,0,75
116,100,100,0,0,72
117,100,100,0,0,64
118,100,100,0,0,67
119,100,100,0,0,58
120,100,100,0,0,51
121,100,100,0,0,47
122,100,100,0,0,50
123,100,100,0,0,47
124,100,100,0,0,44
125,100,100,0,0,45
126,100,100,0,0,45
127,100,100,0,0,47
128,100,100,0,0,48
129,100,100,0,0,50
130,100,100,0,0,51
131,100,100,0,0,51
132,100,100,0,0,57
133,100,100,0,0,53
134,100,100,0,0,53
135,100,100,0,0,49
136,100,100,0,0,49
137,100,100,0,0,48
138,100,100,0,0,50
139,100,100,0,0,52
140,100,100,0,0,54
141,100,100,0,0,59
142,100,100,0,0,59
143,100,100,0,0,62
144,100,100,0,0,61
145,100,100,0,0,58
146,100,100,0,0,63
147,100,100,0,0,56
148,100,100,0,0,56
149,100,100,0,0,53
150,100,100,0,0,55
151,100,100,0,0,56
